"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,20,0.4,2,2,66,10,4.74942392527656,25.8667340581053,-5.25057607472344,52.9179484934014,0.12,0.24
200,20,0.4,2,3,41,10,6.59534829285208,24.9206413841572,-3.40465170714792,36.0138818034593,0.5,0.66
200,20,0.4,2,4,28,10,9.4567929416934,7.7267594529313,-0.543207058306596,7.86729817206679,0.7,0.94
200,20,0.4,2,5,21,10,9.51053098934761,5.70345509424756,-0.489469010652389,5.82896590475164,0.84,0.96
200,20,0.4,2,6,16,10,9.46413442876651,5.390794037854,-0.53586557123349,5.57013006753031,0.84,0.96
200,20,0.4,2,7,12,10,9.54826944259303,5.29323725095521,-0.451730557406972,5.39143300243132,0.82,0.96
200,20,0.4,2,8,9,10,10.1173467317175,1.48061129867905,0.117346731717548,1.46476932815026,0.86,1
200,20,0.4,2,9,7,10,10.0486057946929,1.03638465021891,0.0486057946928522,1.01801948049225,0.96,1
200,20,0.4,2,10,6,10,10.0535596094984,0.758540007988633,0.0535596094984019,0.746237839598481,0.94,1
200,20,0.4,2,11,4,10,9.86207427491307,1.02067229095422,-0.13792572508693,1.01928235077589,0.92,1
200,20,0.4,2,12,3,10,9.79990536555277,0.457431080466686,-0.200094634447231,0.488320321591923,0.94,1
200,20,0.4,2,13,2,10,9.87838087705682,0.814499933365974,-0.12161912294318,0.813001145764123,0.92,1
