"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,5,0.2,1,2,261,1,0.151824964632674,0.751547984991405,-0.848175035367326,1.45591791591194,0.02,0.1
200,5,0.2,1,3,161,1,0.889033708842442,1.22574745486234,-0.110966291157558,1.21354602353836,0.5,0.2
200,5,0.2,1,4,111,1,0.983170165489185,1.45991794773191,-0.0168298345108154,1.43100283210694,0.8,0.3
200,5,0.2,1,5,81,1,0.837364054465133,1.00292680993805,-0.162635945534867,1.00931872451931,0.82,0.2
200,5,0.2,1,6,61,1,0.979863298522847,0.672883885535252,-0.0201367014771534,0.659831694570927,0.82,0.22
200,5,0.2,1,7,46,1,0.816021535401434,0.556066010541225,-0.183978464598566,0.578792765766446,0.8,0.26
200,5,0.2,1,8,36,1,0.956178288625964,0.524988593148453,-0.0438217113740358,0.516409163673233,0.92,0.36
200,5,0.2,1,9,27,1,0.998348572344196,0.309870307728955,-0.00165142765580439,0.303675628787678,0.98,0.26
200,5,0.2,1,10,21,1,1.06577144860027,0.453277039086117,0.0657714486002694,0.448537381755372,0.94,0.42
200,5,0.2,1,11,15,1,0.929903087446527,0.440550372137279,-0.0700969125534734,0.436652941844063,0.92,0.36
200,5,0.2,1,12,11,1,1.05988384332612,0.293032557273029,0.0598838433261237,0.290757980819076,0.96,0.44
200,5,0.2,1,13,7,1,0.936106513652762,0.400565040023896,-0.0638934863472385,0.396636116821023,0.9,0.48
200,5,0.2,1,14,3,1,0.965390123748351,0.272632990178163,-0.0346098762516489,0.268378173908754,0.94,0.48
