"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,6.66666666666667,0.6,1,2,196,1,0.395118880040506,1.12246403915488,-0.604881119959494,1.46589592765523,0.02,0.1
200,6.66666666666667,0.6,1,3,121,1,0.79279764311348,1.5416173239462,-0.20720235688652,1.55371779416661,0.52,0.32
200,6.66666666666667,0.6,1,4,83,1,0.871928569692569,1.77819015331657,-0.128071430307431,1.75902864151123,0.62,0.22
200,6.66666666666667,0.6,1,5,60,1,1.08177037664209,1.16811154133349,0.0817703766420901,1.15143570500301,0.74,0.38
200,6.66666666666667,0.6,1,6,46,1,1.05221048273615,1.28586673939501,0.0522104827361534,1.26287533911465,0.78,0.32
200,6.66666666666667,0.6,1,7,35,1,1.09492200011434,0.376044632101586,0.094922000114344,0.377533925565262,1,0.36
200,6.66666666666667,0.6,1,8,27,1,1.05837127741852,0.536928764171154,0.0583712774185219,0.5295973949152,0.92,0.22
200,6.66666666666667,0.6,1,9,21,1,0.876485121287486,0.413570941406968,-0.123514878712514,0.420555447842196,0.94,0.26
200,6.66666666666667,0.6,1,10,15,1,0.886749016967082,0.563552087008768,-0.113250983032918,0.565106830426515,0.88,0.32
200,6.66666666666667,0.6,1,11,11,1,1.12994011638099,0.45631821182888,0.129940116380991,0.464076281437408,0.9,0.4
200,6.66666666666667,0.6,1,12,8,1,0.968577821890273,0.467325247883682,-0.0314221781097267,0.458966096203168,0.92,0.4
200,6.66666666666667,0.6,1,13,5,1,0.928063887945315,0.217267105445971,-0.071936112054685,0.218096567554596,1,0.34
200,6.66666666666667,0.6,1,14,3,1,0.966733505485011,0.323146493204267,-0.0332664945149886,0.317790222997497,0.94,0.42
