"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,8,0.2,1,2,163,1,0.591843057636562,1.55105919403181,-0.408156942363438,1.68663009975065,0.02,0.08
200,8,0.2,1,3,101,1,0.737651406125409,1.25360014903378,-0.262348593874591,1.29735493076108,0.52,0.2
200,8,0.2,1,4,69,1,1.03643206411847,1.55532121516521,0.0364320641184659,1.52554208615784,0.78,0.28
200,8,0.2,1,5,51,1,1.09449013043468,0.862116254630203,0.0944901304346812,0.853802314287162,0.84,0.32
200,8,0.2,1,6,38,1,0.939260780398674,1.00575463879766,-0.060739219601326,0.989328798819489,0.84,0.3
200,8,0.2,1,7,29,1,1.01765168938208,0.552788903042513,0.0176516893820755,0.542044707119704,0.88,0.28
200,8,0.2,1,8,22,1,0.986265684216587,0.649684232822477,-0.0137343157834133,0.636879179596066,0.88,0.38
200,8,0.2,1,9,17,1,1.07447589331091,0.456567988960751,0.0744758933109138,0.452983287865995,0.94,0.42
200,8,0.2,1,10,13,1,1.03279149475557,0.469061849832187,0.0327914947555703,0.460755894963848,0.88,0.4
200,8,0.2,1,11,10,1,0.952083937327191,0.468092076015834,-0.0479160626728087,0.461026183557582,0.92,0.46
200,8,0.2,1,12,7,1,1.08987837084075,0.439961228551834,0.0898783708407538,0.439240125525785,0.84,0.4
200,8,0.2,1,13,4,1,0.945331489444022,0.337235913932231,-0.0546685105559777,0.333479841699996,0.9,0.44
200,8,0.2,1,14,2,1,0.844448409899039,0.287900311875739,-0.155551590100961,0.306338602821162,0.92,0.36
