"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,8,0.4,2,2,163,10,3.5844441391415,29.4427583637642,-6.4155558608585,70.0132602002848,0.02,0.1
200,8,0.4,2,3,101,10,7.74011004419557,19.4363339277298,-2.25988995580443,24.1547098615209,0.52,0.78
200,8,0.4,2,4,69,10,9.36465980417253,10.7014561304905,-0.635340195827473,10.8910841723148,0.78,0.92
200,8,0.4,2,5,51,10,9.44676630896175,9.43013990987614,-0.553233691038255,9.54760462857843,0.84,0.92
200,8,0.4,2,6,38,10,9.39895458561411,7.65041021171672,-0.601045414385892,7.85865759763669,0.84,0.94
200,8,0.4,2,7,29,10,10.0249632585233,1.10557780608532,0.0249632585232948,1.08408941423972,0.88,1
200,8,0.4,2,8,22,10,9.98057674434908,1.29936846564545,-0.0194232556509188,1.27375835919262,0.88,1
200,8,0.4,2,9,17,10,10.10532481839,0.913135977921619,0.105324818389969,0.905966575732066,0.94,1
200,8,0.4,2,10,13,10,9.87465844786121,2.92428702574985,-0.125341552138789,2.88151178992741,0.88,0.98
200,8,0.4,2,11,10,10,9.93223645431269,0.93618415203164,-0.0677635456873134,0.922052367115123,0.92,1
200,8,0.4,2,12,7,10,10.1271072110071,0.879922457103774,0.127107211007072,0.878480251051695,0.84,1
200,8,0.4,2,13,4,10,9.92268705093697,0.674471827864424,-0.0773129490630318,0.666959683399958,0.9,1
200,8,0.4,2,14,2,10,9.78001683163052,0.575800623751476,-0.219983168369483,0.612677205642322,0.92,1
