"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4.44444444444444,0.2,1,2,293,1,0.132939002320022,1.02193522283106,-0.867060997679978,1.75329129207224,0,0.1
200,4.44444444444444,0.2,1,3,181,1,0.628255486878465,1.45960767266521,-0.371744513121535,1.56860950224788,0.32,0.34
200,4.44444444444444,0.2,1,4,124,1,0.746537130659086,0.730393601155904,-0.253462869340914,0.780029155267316,0.7,0.26
200,4.44444444444444,0.2,1,5,91,1,1.09235069306389,0.816088625234202,0.0923506930638882,0.808295503238898,0.82,0.36
200,4.44444444444444,0.2,1,6,68,1,0.758170581684115,0.692522642320368,-0.241829418315885,0.73715365703696,0.8,0.3
200,4.44444444444444,0.2,1,7,52,1,0.743125147742689,0.60128970272429,-0.256874852257311,0.655248598392019,0.9,0.18
200,4.44444444444444,0.2,1,8,40,1,0.761313011551091,0.564615685435354,-0.238686988448909,0.610294850181457,0.9,0.26
200,4.44444444444444,0.2,1,9,31,1,0.991332500698653,0.399538253463351,-0.00866749930134691,0.391622613938223,0.9,0.36
200,4.44444444444444,0.2,1,10,23,1,1.00471444600451,0.55268974142343,0.00471444600451165,0.54165817259609,0.88,0.4
200,4.44444444444444,0.2,1,11,17,1,0.998005691243606,0.448933783701322,-0.00199430875639395,0.439959085294711,0.92,0.32
200,4.44444444444444,0.2,1,12,12,1,0.849853522483808,0.360769004874583,-0.150146477516192,0.376097589487612,0.92,0.3
200,4.44444444444444,0.2,1,13,7,1,0.936106513652762,0.400565040023896,-0.0638934863472385,0.396636116821023,0.9,0.48
200,4.44444444444444,0.2,1,14,4,1,0.932110278483493,0.339200014914873,-0.0678897215165071,0.337025028904164,0.92,0.42
