"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4,0.4,2,2,326,10,6.05022260197497,24.5395118508051,-3.94977739802503,39.6494631077383,0.04,0.12
200,4,0.4,2,3,201,10,7.18936984703887,21.8859538532091,-2.81063015296113,29.3478766328792,0.54,0.72
200,4,0.4,2,4,138,10,8.61916909589689,11.9576427064991,-1.38083090410311,13.6251838380953,0.76,0.88
200,4,0.4,2,5,101,10,9.60078318823744,8.21688136509191,-0.399216811762564,8.21191780058394,0.76,0.94
200,4,0.4,2,6,76,10,9.78242805444298,3.41702117719059,-0.217571945557017,3.39601830514024,0.88,0.98
200,4,0.4,2,7,58,10,9.85113874576782,3.67382597201271,-0.148861254232179,3.62250912558403,0.8,0.98
200,4,0.4,2,8,44,10,10.1281452564872,1.72708117264561,0.128145256487212,1.70896075595287,0.86,1
200,4,0.4,2,9,34,10,10.0359211074978,1.2437632197313,0.0359211074977619,1.22017828130054,0.88,1
200,4,0.4,2,10,26,10,10.1323260333188,0.876487260765112,0.132326033318824,0.876467694643705,0.88,1
200,4,0.4,2,11,19,10,9.95520741557338,0.76793159160497,-0.0447925844266202,0.754579335392486,0.88,1
200,4,0.4,2,12,13,10,10.0489837599324,0.724829295913557,0.0489837599323764,0.712732118732399,0.92,1
200,4,0.4,2,13,8,10,10.1337702451452,0.522300408807873,0.133770245145199,0.529748879117922,0.94,1
200,4,0.4,2,14,4,10,9.90398943508564,0.67840002982971,-0.0960105649143639,0.674050057808291,0.92,1
