"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,10,0.4,2,2,131,10,4.64660161062159,28.1583129226631,-5.35339838937841,56.2540209796092,0,0.16
200,10,0.4,2,3,81,10,7.8257812060313,17.1735059262168,-2.1742187939687,21.5572631717392,0.58,0.8
200,10,0.4,2,4,56,10,8.6794991235079,12.1514898629847,-1.3205008764921,13.6521826305414,0.82,0.88
200,10,0.4,2,5,41,10,9.17937654195807,9.2845904113768,-0.820623458041933,9.77232146303797,0.8,0.92
200,10,0.4,2,6,31,10,9.99138145926991,3.14421930583675,-0.0086185407300885,3.08140919896433,0.94,0.98
200,10,0.4,2,7,23,10,9.73800084350329,1.38829710570892,-0.261999156496712,1.42917472159973,0.88,1
200,10,0.4,2,8,18,10,9.9256614729126,3.2793139766046,-0.074338527087404,3.21925391368203,0.9,0.98
200,10,0.4,2,9,14,10,9.74613049538416,3.03370979233282,-0.253869504615841,3.03748532186006,0.84,0.98
200,10,0.4,2,10,11,10,9.85870971417278,2.80497357220695,-0.141290285827225,2.76883704563195,0.9,0.98
200,10,0.4,2,11,8,10,10.1338460758381,0.860708783984581,0.133846075838067,0.861409380322139,0.88,1
200,10,0.4,2,12,6,10,10.2204371125581,0.817088900815764,0.220437112558059,0.849339643392384,0.92,1
200,10,0.4,2,13,4,10,9.92268705093697,0.674471827864424,-0.0773129490630318,0.666959683399958,0.9,1
200,10,0.4,2,14,2,10,9.78001683163052,0.575800623751476,-0.219983168369483,0.612677205642322,0.92,1
