"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,40,1,0.4,2,33,1,0.441733799327302,0.523782525617812,-0.558266200672698,0.824968025918985,0.26,0.04
200,40,1,0.4,3,21,1,0.7484457392994,0.464775767074419,-0.2515542607006,0.518759797809557,0.68,0.18
200,40,1,0.4,4,14,1,0.895551561339213,0.659483406308976,-0.104448438660787,0.657203214521472,0.72,0.34
200,40,1,0.4,5,11,1,0.946558644508921,0.406209982854548,-0.0534413554910789,0.400941761674181,0.86,0.36
200,40,1,0.4,6,8,1,0.91304646296161,0.374465767572985,-0.0869535370383903,0.374537369825012,0.92,0.32
200,40,1,0.4,7,6,1,0.887507331911172,0.383446502451492,-0.112492668088828,0.388432172776206,0.86,0.42
200,40,1,0.4,8,5,1,1.02143247311909,0.300686068026303,0.021432473119088,0.295131697569777,0.92,0.46
200,40,1,0.4,9,4,1,1.0380683829778,0.304022619060022,0.0380683829778026,0.299391368461366,0.92,0.52
200,40,1,0.4,10,3,1,1.0892828472539,0.299202262054437,0.0892828472539033,0.301189643627112,0.92,0.48
200,40,1,0.4,11,2,1,1.01200425975372,0.32266155163922,0.0120042597537231,0.316352422858671,0.94,0.34
200,40,1,0.4,12,2,1,1.11757921554773,0.324578535511369,0.117579215547729,0.331911836729961,0.94,0.56
