"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,40,1,0.8,2,33,10,4.56724570827739,25.551423016412,-5.43275429172261,54.5552137503142,0.22,0.06
200,40,1,0.8,3,21,10,8.10811966107683,15.3887462123427,-1.89188033892317,18.6601825048999,0.68,0.82
200,40,1,0.8,4,14,10,9.17040832711239,8.56264722855318,-0.829591672887609,9.07961662770658,0.68,0.92
200,40,1,0.8,5,11,10,9.44612825448202,6.42797478307912,-0.553871745517981,6.60618919790067,0.84,0.94
200,40,1,0.8,6,8,10,9.91179776029683,0.714553563430973,-0.0882022397031719,0.70804212725101,0.92,1
200,40,1,0.8,7,6,10,9.47891345459125,4.4301775677089,-0.521086545408755,4.61310520416075,0.84,0.96
200,40,1,0.8,8,5,10,10.0580287006594,0.525405530140733,0.0580287006594045,0.518264749638137,0.9,1
200,40,1,0.8,9,4,10,10.0709157870329,0.524877636058277,0.0709157870329342,0.519409132187612,0.92,1
200,40,1,0.8,10,3,10,10.0889577677603,0.458465331470529,0.0889577677602986,0.457209509286014,0.86,1
200,40,1,0.8,11,2,10,10.0156576057959,0.483189716656376,0.0156576057958819,0.473771082942508,0.96,1
200,40,1,0.8,12,2,10,10.1412855682245,0.448051697884474,0.141285568224488,0.4590522757153,0.98,1
