"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,20,2,0.8,2,66,10,4.78195532192856,25.7223202676248,-5.21804467807144,52.435864124622,0.2,0.12
200,20,2,0.8,3,41,10,6.65062054382946,24.1369921178505,-3.34937945617054,34.8725950169107,0.52,0.66
200,20,2,0.8,4,28,10,9.40598058445598,6.5444976569005,-0.594019415544018,6.76646676980575,0.72,0.94
200,20,2,0.8,5,21,10,9.50425954875225,4.6950582798436,-0.495740451247746,4.84691570925005,0.82,0.96
200,20,2,0.8,6,16,10,9.48667950890247,4.48787194892929,-0.513320491097533,4.66161243653131,0.82,0.96
200,20,2,0.8,7,12,10,9.54913086997523,4.61097779271006,-0.450869130024774,4.72204120926516,0.78,0.96
200,20,2,0.8,8,9,10,10.1140017957832,0.697555084288927,0.114001795783217,0.696600392044947,0.9,1
200,20,2,0.8,9,7,10,10.0202305291686,0.50438749933109,0.0202305291686464,0.494709023654911,0.96,1
200,20,2,0.8,10,6,10,10.0047151052057,0.525830605307421,0.00471510520571172,0.515336225418374,0.9,1
200,20,2,0.8,11,4,10,9.90248763402737,0.614010795011972,-0.0975123659726265,0.611239240629312,0.92,1
200,20,2,0.8,12,3,10,9.8246081600232,0.394384105202651,-0.175391839976804,0.417258720629047,0.96,1
200,20,2,0.8,13,2,10,9.89048289803267,0.57630239898297,-0.109517101967329,0.576770346626633,0.98,1
