"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,5.71428571428571,0.2,1,2,228,1,0.445161807113399,0.953783021353365,-0.554838192886601,1.24255278121197,0.04,0.14
200,5.71428571428571,0.2,1,3,141,1,0.58132601464989,1.22994922289745,-0.41867398535011,1.38063814444844,0.36,0.38
200,5.71428571428571,0.2,1,4,97,1,0.693954082308961,1.34428997553416,-0.306045917691039,1.41106827975882,0.64,0.12
200,5.71428571428571,0.2,1,5,71,1,0.856708899787958,0.787966212725196,-0.143291100212042,0.79273922787067,0.76,0.22
200,5.71428571428571,0.2,1,6,53,1,0.999313589456323,0.972377631770432,-0.000686410543677352,0.952930550294458,0.8,0.32
200,5.71428571428571,0.2,1,7,41,1,0.923829419059979,0.750338843740777,-0.0761705809400212,0.741134024266702,0.82,0.26
200,5.71428571428571,0.2,1,8,31,1,1.01347992554035,0.481467520234251,0.0134799255403486,0.472019878222139,0.92,0.3
200,5.71428571428571,0.2,1,9,24,1,1.04018900597858,0.527892229843599,0.0401890059785786,0.518949541448273,0.94,0.36
200,5.71428571428571,0.2,1,10,18,1,0.996257852727413,0.586732868199168,-0.00374214727258693,0.575012214501395,0.82,0.38
200,5.71428571428571,0.2,1,11,13,1,1.09009243957642,0.487369629852867,0.0900924395764171,0.48573888492464,0.94,0.4
200,5.71428571428571,0.2,1,12,9,1,1.05027891868426,0.308895598987298,0.050278918684258,0.30524565667161,0.92,0.44
200,5.71428571428571,0.2,1,13,6,1,1.12633993512876,0.39424143503049,0.126339935128757,0.402318385538219,0.96,0.54
200,5.71428571428571,0.2,1,14,3,1,0.965390123748351,0.272632990178163,-0.0346098762516489,0.268378173908754,0.94,0.48
