"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,20,0.8,2,66,10,5.20539513153321,26.0855473592239,-4.79460486846679,48.5520722567649,0,0.52
200,20,0.8,3,41,10,7.00872543858184,22.082779354096,-2.99127456141816,30.5888472688015,0.42,0.7
200,20,0.8,4,28,10,9.12244274605174,8.44575763946191,-0.877557253948257,9.04694922062988,0.68,0.92
200,20,0.8,5,21,10,9.33255409636774,8.31688719863466,-0.667445903632261,8.59603348893745,0.8,0.92
200,20,0.8,6,16,10,9.47445784434034,4.45480208277939,-0.525542155659656,4.6419005984992,0.88,0.96
200,20,0.8,7,12,10,9.99734399210454,0.649695471285838,-0.0026560078954585,0.636708616238062,0.84,1
200,20,0.8,8,9,10,10.0924379752448,0.563654632447343,0.0924379752447848,0.560926319065751,0.88,1
200,20,0.8,9,7,10,9.8788747139636,0.482432666729907,-0.121125286036404,0.48745534831271,0.92,1
200,20,0.8,10,6,10,10.0871333340142,0.415671857450717,0.0871333340142044,0.414950638198134,0.86,1
200,20,0.8,11,4,10,9.98943307644183,0.375803811084312,-0.0105669235581658,0.36839939473611,0.94,1
200,20,0.8,12,3,10,10.1206851610126,0.284059258377643,0.120685161012632,0.292942981298735,0.94,1
200,20,0.8,13,2,10,9.847883854843,0.329668801034487,-0.152116145156999,0.346214746631222,0.88,1
