"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,8,0.2,2,163,1,0.448851927628172,0.340078573777073,-0.551148072371828,0.637041199980714,0.04,0.48
200,8,0.2,3,101,1,0.77239667940392,0.332007125571528,-0.22760332059608,0.377170254606459,0.5,0.66
200,8,0.2,4,69,1,0.850769784588562,0.247580124308196,-0.149230215411438,0.264898179013776,0.7,0.7
200,8,0.2,5,51,1,0.933077164421342,0.231045298846196,-0.0669228355786576,0.23090305879116,0.8,0.74
200,8,0.2,6,38,1,0.90128567732309,0.216242035515372,-0.0987143226769102,0.221661712306625,0.8,0.7
200,8,0.2,7,29,1,1.01224924105831,0.142954036972177,0.0122492410583099,0.140245000139239,0.78,0.84
200,8,0.2,8,22,1,0.909095946734375,0.108100288083083,-0.0909040532656255,0.114201829221541,0.9,0.82
200,8,0.2,9,17,1,1.00725449141244,0.0958975433909656,0.00725449141243706,0.0940322201687994,0.88,0.92
200,8,0.2,10,13,1,1.01595995587711,0.122259620360066,0.0159599558771051,0.120069148144463,0.82,0.9
200,8,0.2,11,10,1,0.986677585004059,0.0986098318449631,-0.0133224149959409,0.096815121949388,0.88,1
200,8,0.2,12,7,1,0.979219422589318,0.0878199737815317,-0.0207805774106821,0.0864954067034225,0.88,0.96
200,8,0.2,13,4,1,0.918676899599512,0.0408049154338712,-0.0813231004004875,0.0466022637839416,0.94,0.96
200,8,0.2,14,2,1,1.08319609849879,0.0520853566964835,0.0831960984987912,0.0579652403679744,0.96,0.98
