"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4.44444444444444,0.2,2,293,1,0.491046117645214,0.427226712717834,-0.508953882354786,0.677716232827487,0,0.48
200,4.44444444444444,0.2,3,181,1,0.877661914985243,0.362305568421972,-0.122338085014757,0.37002606409861,0.6,0.76
200,4.44444444444444,0.2,4,124,1,0.8756792945006,0.351508257425621,-0.1243207054994,0.359933730092977,0.62,0.64
200,4.44444444444444,0.2,5,91,1,0.888324396907608,0.253435864222336,-0.111675603092392,0.260838587263939,0.72,0.68
200,4.44444444444444,0.2,6,68,1,0.805707146098568,0.228605503743464,-0.194292853901432,0.261783106745758,0.7,0.58
200,4.44444444444444,0.2,7,52,1,1.0132637470803,0.133654270091514,0.0132637470803025,0.131157111676294,0.88,0.88
200,4.44444444444444,0.2,8,40,1,1.1341146172365,0.139938470919225,0.1341146172365,0.155126432057333,0.86,0.9
200,4.44444444444444,0.2,9,31,1,1.01158046732583,0.110684950055636,0.0115804673258337,0.108605358278008,0.96,0.92
200,4.44444444444444,0.2,10,23,1,0.987228993434032,0.121137776860642,-0.0127710065659677,0.118878119932137,0.86,0.94
200,4.44444444444444,0.2,11,17,1,1.03373559461426,0.0968895717411378,0.0337355946142648,0.096089870650293,0.88,0.96
200,4.44444444444444,0.2,12,12,1,0.991482409631524,0.0840638837189884,-0.00851759036847577,0.0824551553902938,0.9,0.94
200,4.44444444444444,0.2,13,7,1,1.06766106153983,0.0617740938572705,0.0676610615398314,0.0651166312288219,0.94,1
200,4.44444444444444,0.2,14,4,1,1.0010344128283,0.0587249849191944,0.00103441282830086,0.0575515552307098,0.92,0.98
