"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,8,0.6,2,163,1,0.747556944679777,0.943774195029526,-0.252443055320223,0.988626207308344,0,0.54
200,8,0.6,3,101,1,0.936884959452952,0.893225949158992,-0.0631150405470482,0.879344938519067,0.52,0.52
200,8,0.6,4,69,1,0.723103118519545,0.772782547838849,-0.276896881480455,0.833998779855673,0.68,0.34
200,8,0.6,5,51,1,1.04970328604258,0.527583606003785,0.0497032860425768,0.519502350527139,0.78,0.54
200,8,0.6,6,38,1,1.00580526468262,0.47722558766217,0.00580526468261922,0.467714777006962,0.92,0.54
200,8,0.6,7,29,1,1.08445329211551,0.461401824412514,0.0844532921155112,0.459306146473412,0.82,0.62
200,8,0.6,8,22,1,0.947284995093294,0.337433063607124,-0.052715004906706,0.333463274077296,0.9,0.44
200,8,0.6,9,17,1,1.16363968721175,0.254970953834252,0.163639687211751,0.276649481988326,0.92,0.7
200,8,0.6,10,13,1,0.964264424263557,0.218161682012529,-0.0357355757364429,0.215075479745493,0.98,0.62
200,8,0.6,11,10,1,1.00657164402578,0.283263869419062,0.0065716440257757,0.277641778535882,0.82,0.58
200,8,0.6,12,7,1,0.951931809133,0.203659567675331,-0.0480681908669995,0.201896927295051,0.92,0.64
200,8,0.6,13,4,1,0.996669845500946,0.18522935165701,-0.00333015449905383,0.181535854552857,0.94,0.7
200,8,0.6,14,2,1,1.02487429994191,0.16320793849989,0.0248742999419103,0.160562510527493,0.94,0.8
