"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,6.66666666666667,0.4,2,196,10,6.12052820211436,25.8903724062721,-3.87947179788564,40.4228663887367,0,0.6
200,6.66666666666667,0.4,3,121,10,7.3764021244626,20.072075261164,-2.6235978755374,26.5538995684651,0.42,0.74
200,6.66666666666667,0.4,4,83,10,8.92208569421664,9.50397529903312,-1.07791430578336,10.4757950436649,0.6,0.9
200,6.66666666666667,0.4,5,60,10,9.36112630852579,6.03394199724756,-0.638873691474208,6.32142275096049,0.72,0.94
200,6.66666666666667,0.4,6,46,10,9.82199753010099,2.3086133206586,-0.178002469899011,2.29412593353558,0.9,0.98
200,6.66666666666667,0.4,7,35,10,9.83655245160625,2.28740211272554,-0.163447548393748,2.26836917154696,0.86,0.98
200,6.66666666666667,0.4,8,27,10,10.0510819663822,0.189314749281108,0.051081966382176,0.188137821584956,0.92,1
200,6.66666666666667,0.4,9,21,10,10.0761828303405,0.262356971668865,0.0761828303404943,0.262913655874176,0.86,1
200,6.66666666666667,0.4,10,15,10,9.97344490367214,0.202067454048762,-0.0265550963278578,0.198731278108769,0.86,1
200,6.66666666666667,0.4,11,11,10,10.0729522178128,0.174256775875098,0.0729522178127748,0.176093666441399,0.92,1
200,6.66666666666667,0.4,12,8,10,10.0322690304588,0.115995129557545,0.0322690304588349,0.114716517293147,0.94,1
200,6.66666666666667,0.4,13,5,10,9.92654400845282,0.13340661325458,-0.0734559915471795,0.136134263683667,0.94,1
200,6.66666666666667,0.4,14,3,10,10.0424398737606,0.172060616406409,0.0424398737606264,0.170420546963098,0.94,1
