"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4,0.4,2,326,10,4.83053610070509,25.9826157641156,-5.16946389929491,52.1863204549466,0,0.48
200,4,0.4,3,201,10,6.54989377788036,23.096548011878,-3.45010622211964,34.5378499955492,0.4,0.66
200,4,0.4,4,138,10,8.5690059879781,12.5169955001646,-1.43099401202191,14.3143994526039,0.74,0.86
200,4,0.4,5,101,10,9.4030519625366,6.16666318309041,-0.596948037463397,6.39967687886,0.74,0.94
200,4,0.4,6,76,10,9.82662384875752,2.53993188747391,-0.173376151242481,2.51919253954408,0.78,0.98
200,4,0.4,7,58,10,9.88675529762025,0.320402119782686,-0.113244702379754,0.326818440004111,0.86,1
200,4,0.4,8,44,10,10.0550643159107,0.246274371962971,0.0550643159107427,0.24438096341043,0.96,1
200,4,0.4,9,34,10,9.7298218620692,2.13446240283164,-0.270178137930795,2.16476938099076,0.92,0.98
200,4,0.4,10,26,10,10.0295389105648,0.159530055878227,0.0295389105647743,0.157212001998016,0.92,1
200,4,0.4,11,19,10,9.94895019299264,0.163133944586807,-0.0510498070073577,0.16247734849056,0.86,1
200,4,0.4,12,13,10,9.99178638016592,0.158327413050231,-0.00821361983408053,0.155228328340005,0.88,1
200,4,0.4,13,8,10,9.96939133255817,0.10886144844912,-0.0306086674418324,0.107621110002703,0.94,1
200,4,0.4,14,4,10,9.98459448290258,0.135835965038006,-0.0154055170974203,0.133356575694285,0.9,1
