"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,8,0.4,2,163,10,5.46710499686895,26.5190731963124,-4.53289500313105,46.5358288417966,0,0.54
200,8,0.4,3,101,10,8.60824868538044,11.011603987792,-1.39175131461956,12.7283436297815,0.6,0.88
200,8,0.4,4,69,10,8.15662661590628,15.2612312706579,-1.84337338409372,18.3540320784299,0.68,0.82
200,8,0.4,5,51,10,9.87569397855522,4.43503189583843,-0.124306021444777,4.3617832448891,0.84,0.96
200,8,0.4,6,38,10,9.58903452750465,4.18066890907673,-0.410965472495349,4.26594815047852,0.88,0.96
200,8,0.4,7,29,10,9.64274622555702,2.17034099560259,-0.357253774442981,2.25456443504429,0.88,0.98
200,8,0.4,8,22,10,10.0261887750397,0.230516521048248,0.0261887750397012,0.226592042565363,0.9,1
200,8,0.4,9,17,10,10.0003521058599,0.196327204845156,0.000352105859933616,0.19240078472679,0.96,1
200,8,0.4,10,13,10,9.89344188741515,2.20182046334428,-0.106558112584846,2.16913868543504,0.9,0.98
200,8,0.4,11,10,10,10.0977156246146,0.205913370204567,0.097715624614569,0.211343446094291,0.86,1
200,8,0.4,12,7,10,9.97744171848074,0.157856011488351,-0.0225582815192578,0.155207767323686,0.94,1
200,8,0.4,13,4,10,9.96342558120968,0.119391295987292,-0.0365744187903179,0.118341158177396,0.94,1
200,8,0.4,14,2,10,10.0942640509448,0.111386500261017,0.0942640509448012,0.118044481556321,0.96,1
