"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
300,20,0.3,2,61,1,0.387731527542893,0.650357705350752,-0.612268472457107,1.0122232336087,0,0.44
300,20,0.3,3,36,1,0.589317442263071,0.406439177866274,-0.410682557736929,0.566970557538294,0.6,0.4
300,20,0.3,4,23,1,0.889514156538392,0.335814172934266,-0.110485843461608,0.341305011081004,0.8,0.56
300,20,0.3,5,16,1,0.932093535443576,0.3807679770764,-0.0679064645564245,0.377763905463425,0.8,0.64
300,20,0.3,6,11,1,0.935661341437166,0.259006383140221,-0.0643386585628342,0.257965718463082,0.86,0.64
300,20,0.3,7,7,1,0.978162880875751,0.236683115309041,-0.0218371191242491,0.232426312774507,0.8,0.74
300,20,0.3,8,4,1,0.997343987861474,0.249721248564831,-0.00265601213852584,0.244733877994015,0.8,0.72
300,20,0.3,9,2,1,0.9849359498902,0.25361871629366,-0.0150640501098002,0.248773267573498,0.84,0.76
