"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,40,0.6,2,33,1,0.474352374054063,0.711756908353613,-0.525647625945937,0.97382719684914,0.02,0.52
200,40,0.6,3,21,1,0.853569521497515,0.803285741715876,-0.146430478502485,0.808661911916025,0.56,0.46
200,40,0.6,4,14,1,0.976585525860606,0.736137959847246,-0.0234144741393937,0.721963438249525,0.62,0.56
200,40,0.6,5,11,1,0.797650316448299,0.39678804281194,-0.202349683551701,0.429797676389175,0.78,0.38
200,40,0.6,6,8,1,0.832362513878564,0.466547840354191,-0.167637486121436,0.485319210300222,0.86,0.4
200,40,0.6,7,6,1,1.07323911382517,0.656643729271282,0.0732391138251662,0.648874822479752,0.86,0.54
200,40,0.6,8,5,1,0.979078708561978,0.334248236594993,-0.0209212914380219,0.328000972298528,0.9,0.5
200,40,0.6,9,4,1,0.963336208821301,0.391961381488022,-0.036663791178699,0.385466387441857,0.94,0.5
200,40,0.6,10,3,1,0.993865954357469,0.404766070125742,-0.00613404564253084,0.396708375239172,0.82,0.56
200,40,0.6,11,2,1,0.988756923049731,0.243001004342021,-0.0112430769502694,0.23826739103449,0.92,0.62
200,40,0.6,12,2,1,1.07497448948787,0.150999077043936,0.0749744894878652,0.153600269577023,0.96,0.66
