"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,5,0.6,2,261,1,0.582275730770638,0.69604870475662,-0.417724269229362,0.856621295764692,0,0.52
200,5,0.6,3,161,1,0.737785091862639,0.983178404235599,-0.262214908137361,1.03227149420037,0.46,0.44
200,5,0.6,4,111,1,0.776303038872336,0.786996351104051,-0.223696961127664,0.821296754499722,0.66,0.34
200,5,0.6,5,81,1,0.881939965219423,0.614042968516442,-0.118060034780577,0.615700280958504,0.86,0.4
200,5,0.6,6,61,1,1.08221788253684,0.312075939441742,0.0822178825368358,0.312594200861748,0.88,0.58
200,5,0.6,7,46,1,1.0629809487279,0.276715038458414,0.0629809487278965,0.275147337591912,0.92,0.56
200,5,0.6,8,36,1,0.94150342652343,0.362608838825945,-0.05849657347657,0.358778511157926,0.86,0.48
200,5,0.6,9,27,1,1.08290692625466,0.242601185165121,0.0829069262546565,0.244622719882814,0.94,0.68
200,5,0.6,10,21,1,0.97952278158605,0.216315947457634,-0.0204772184139501,0.212408944982454,0.94,0.7
200,5,0.6,11,15,1,0.970757282210039,0.294950556924999,-0.0292427177899612,0.289906682330242,0.92,0.56
200,5,0.6,12,11,1,0.951382397227228,0.215213281564496,-0.0486176027727722,0.213272687232577,0.92,0.6
200,5,0.6,13,7,1,1.02079982869631,0.264835700954206,0.0207998286963069,0.259971619808918,0.9,0.68
200,5,0.6,14,3,1,0.969916881627135,0.157913748484106,-0.0300831183728655,0.15566046752546,0.92,0.68
