"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,10,0.6,2,131,1,0.503522447256198,0.679262253460332,-0.496477552743802,0.912166968769601,0.02,0.5
200,10,0.6,3,81,1,0.834011911577891,0.820849436172857,-0.165988088422109,0.831984492947425,0.56,0.5
200,10,0.6,4,56,1,0.787235604386545,0.666156194163825,-0.212764395613455,0.698101758321307,0.7,0.36
200,10,0.6,5,41,1,0.99768282503019,0.667770195934054,-0.00231717496981021,0.654420161315214,0.7,0.44
200,10,0.6,6,31,1,1.06434789026493,0.564000534897036,0.0643478902649348,0.556861175180644,0.82,0.54
200,10,0.6,7,23,1,1.05527897610324,0.585939626324637,0.0552789761032386,0.577276598997167,0.84,0.48
200,10,0.6,8,18,1,0.963642295634452,0.507982126674518,-0.0363577043655483,0.499144366807761,0.86,0.5
200,10,0.6,9,14,1,0.9983970304456,0.238298333457914,-0.00160296955440009,0.233534936300148,0.88,0.58
200,10,0.6,10,11,1,0.886693066293088,0.342378633548588,-0.113306933706912,0.348369522103678,0.86,0.5
200,10,0.6,11,8,1,1.03396110045857,0.223938785687901,0.0339611004585705,0.2206133663185,0.9,0.6
200,10,0.6,12,6,1,1.10622603875553,0.199768349970858,0.106226038755534,0.207056954281133,0.92,0.72
200,10,0.6,13,4,1,0.996669845500946,0.18522935165701,-0.00333015449905383,0.181535854552857,0.94,0.7
200,10,0.6,14,2,1,1.02487429994191,0.16320793849989,0.0248742999419103,0.160562510527493,0.94,0.8
