"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
300,20,0.7,2,61,10,5.82980694685807,25.6805674654063,-4.17019305314193,42.5574662165714,0,0.58
300,20,0.7,3,36,10,7.83450859131266,18.5349837228031,-2.16549140868734,22.8536370894457,0.52,0.78
300,20,0.7,4,23,10,8.79794931615536,11.5044639862909,-1.20205068384464,12.7193005530964,0.7,0.88
300,20,0.7,5,16,10,9.64648878852606,4.42143303541818,-0.353511211473942,4.45797455134759,0.8,0.96
300,20,0.7,6,11,10,9.2683160597805,6.18484884483387,-0.731683940219503,6.59651325631233,0.8,0.94
300,20,0.7,7,7,10,9.94862515496672,0.377023337572236,-0.051374845033278,0.372122245522985,0.88,1
300,20,0.7,8,4,10,9.62605628342375,4.38495482686573,-0.373943716576248,4.43708963349527,0.82,0.96
300,20,0.7,9,2,10,9.47126532390792,4.23647499684393,-0.528734676092084,4.43130585460925,0.88,0.96
